STATUS,a1,a2,a3,a4,b1,b2,b3,b4,c1,c2,c3,c4,d1,d2,d3,d4
1,2,5,6,7,0,0,0,0,0,0,0,0,0,0,0,0
1,11,34,57,74,0,0,0,0,0,0,0,0,0,0,0,0
1,5,15,22,28,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,8,9,0,0,0,0,0,0,0,0,0,0,0,0
1,15,26,30,41,0,0,0,0,0,0,0,0,0,0,0,0
1,21,32,42,61,0,0,0,0,0,0,0,0,0,0,0,0
1,25,47,96,140,0,0,0,0,0,0,0,0,0,0,0,0
1,9,16,22,30,0,0,0,0,0,0,0,0,0,0,0,0
1,35,52,79,108,0,0,0,0,0,0,0,0,0,0,0,0
1,7,8,20,31,0,0,0,0,0,0,0,0,0,0,0,0
1,6,13,16,28,0,0,0,0,0,0,0,0,0,0,0,0
1,5,10,17,18,0,0,0,0,0,0,0,0,0,0,0,0
1,5,6,11,13,0,0,0,0,0,0,0,0,0,0,0,0
1,8,15,22,25,0,0,0,0,0,0,0,0,0,0,0,0
1,16,16,31,35,0,0,0,0,0,0,0,0,0,0,0,0
1,10,38,39,56,0,0,0,0,0,0,0,0,0,0,0,0
1,27,53,78,99,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,5,9,0,0,0,0,0,0,0,0,0,0,0,0
1,45,80,137,174,0,0,0,0,0,0,0,0,0,0,0,0
1,6,17,22,30,0,0,0,0,0,0,0,0,0,0,0,0
1,21,41,50,56,0,0,0,0,0,0,0,0,0,0,0,0
1,12,22,30,41,0,0,0,0,0,0,0,0,0,0,0,0
1,9,26,30,34,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,12,17,31,34,0,0,0,0,0,0,0,0,0,0,0,0
1,7,21,32,43,0,0,0,0,0,0,0,0,0,0,0,0
1,14,24,30,39,0,0,0,0,0,0,0,0,0,0,0,0
1,8,26,46,60,0,0,0,0,0,0,0,0,0,0,0,0
1,14,25,29,33,0,0,0,0,0,0,0,0,0,0,0,0
1,14,26,38,49,0,0,0,0,0,0,0,0,0,0,0,0
1,6,17,22,31,0,0,0,0,0,0,0,0,0,0,0,0
1,31,39,45,60,0,0,0,0,0,0,0,0,0,0,0,0
1,11,18,25,35,0,0,0,0,0,0,0,0,0,0,0,0
1,114,208,327,402,0,0,0,0,0,0,0,0,0,0,0,0
1,56,91,142,175,0,0,0,0,0,0,0,0,0,0,0,0
1,7,9,13,13,0,0,0,0,0,0,0,0,0,0,0,0
1,21,35,54,71,0,0,0,0,0,0,0,0,0,0,0,0
1,10,25,49,60,0,0,0,0,0,0,0,0,0,0,0,0
1,6,22,29,39,0,0,0,0,0,0,0,0,0,0,0,0
1,5,5,7,8,0,0,0,0,0,0,0,0,0,0,0,0
1,15,23,30,39,0,0,0,0,0,0,0,0,0,0,0,0
1,10,13,17,27,2,2,4,4,0,0,0,0,0,0,0,0
1,6,17,28,43,0,0,0,0,0,0,0,0,0,0,0,0
1,24,33,34,35,0,0,0,0,0,0,0,0,0,0,0,0
1,1,22,43,51,0,0,0,0,0,0,0,0,0,0,0,0
1,14,25,48,65,0,0,0,0,0,0,0,0,0,0,0,0
1,29,70,101,127,0,0,0,0,0,0,0,0,0,0,0,0
1,16,23,26,32,0,0,0,0,0,0,0,0,0,0,0,0
1,68,117,162,222,0,0,0,0,0,0,0,0,0,0,0,0
1,15,50,77,97,0,0,0,0,0,0,0,0,0,0,0,0
1,23,50,89,110,0,0,0,0,0,0,0,0,0,0,0,0
1,45,71,82,87,0,0,0,0,0,0,0,0,0,0,0,0
1,19,36,46,60,0,0,0,0,0,0,0,0,0,0,0,0
1,9,16,19,24,0,0,0,0,0,0,0,0,0,0,0,0
1,16,40,67,87,0,0,0,0,0,0,0,0,0,0,0,0
1,33,58,74,83,0,0,0,0,0,0,0,0,0,0,0,0
1,10,13,23,32,0,0,0,0,0,0,0,0,0,0,0,0
1,8,18,20,31,0,0,0,0,0,0,0,0,0,0,0,0
1,3,3,6,7,0,0,0,0,0,0,0,0,0,0,0,0
1,19,25,43,48,0,0,0,0,0,0,0,0,0,0,0,0
1,14,24,70,86,0,0,0,0,0,0,0,0,0,0,0,0
1,66,133,198,235,0,0,0,0,0,0,0,0,0,0,0,0
